# step pe stressx strain maxforce press lx ly lz pxx pyy pzz pxy pxz pyz
11 -15956.677881315099512 5006066571.3037099838 0.055000000000001096623 9.9924944687650081294e-09 -1324.5764414208060771 89.817213970205727946 81.705996432429529364 235.27161577901676992 -2899.4363223032023598 -1074.2930021189629315 1.5974763488537882158e-07 -197.92862597164875638 -5.2900479477143130536e-12 -3.3226581300317695835e-12
12 -15941.210270483399654 5477035255.5412197113 0.060000000000001198208 9.9174086295706976863e-09 -1441.6282662054522916 90.242887970064529668 81.705996432429529364 235.27161577901676992 -3157.2508250334431068 -1167.6339744529218478 8.7000739066616986818e-07 -196.72022998589329745 2.7306142940923769104e-12 5.5998201485159028665e-11
13 -15924.454974833599408 5945612399.0107297897 0.065000000000001306732 9.8508794365946121809e-09 -1556.2116574988522189 90.66856196992333139 81.705996432429529364 235.27161577901676992 -3411.2723969327771556 -1257.3625754078921091 -1.5588821642363862045e-07 -197.2132221165352064 4.3136029576795736891e-11 4.1458679062984483348e-11
14 -15906.38494218320011 6416877408.1650104523 0.07000000000000139444 9.8413899535520339606e-09 -1670.9673586935737148 91.094235969782133111 81.705996432429529364 235.27161577901676992 -3664.4548817958398104 -1348.4471941573310687 -1.2755032288524014583e-07 -195.74767350431636714 -6.8877277447961939316e-12 1.2379559222007861712e-11
15 -15887.028930234400832 6887323480.0493898392 0.075000000000001398881 9.9939185031401882222e-09 -1784.2797565347600539 91.519909969640934833 81.705996432429529364 235.27161577901676992 -3914.8166894340984072 -1438.0225802016702801 3.1488933478673260765e-08 -194.36635952581650599 2.1406508458440708639e-11 1.4696556412045350034e-11
16 -15866.417703172899564 7355202179.2341899872 0.080000000000001500466 9.8226856347859792338e-09 -1895.3928392439995605 91.945583969499736554 81.705996432429529364 235.27161577901676992 -4161.4077705248109851 -1524.7707474678043127 2.6061752478476737523e-07 -193.95552516445206948 8.980777147423607121e-11 -4.2625801861768380001e-11
17 -15844.538315528499879 7823484941.7607002258 0.085000000000001602052 9.8865613808723336877e-09 -2005.9055720494020534 92.371257969358538276 81.705996432429529364 235.27161577901676992 -4405.953679195668883 -1611.7630359971874441 -9.5534995483945722372e-07 -192.43413469133361104 8.8881607695296200338e-11 3.1075656765317652457e-11
18 -15821.560728967400792 8283096562.7694101334 0.090000000000001703637 9.8974767840755000142e-09 -2113.7016872156145837 92.796931969217339997 81.705996432429529364 235.27161577901676992 -4643.3951193964994673 -1697.7099422174021583 -3.2942869083606976519e-08 -193.17515989710227586 2.6211836637320673053e-11 -7.1354700322634511708e-11
19 -15797.23492340320081 8748575550.6668205261 0.095000000000001805223 9.3339177211042920528e-09 -2221.1880892481212868 93.222605969076141719 81.705996432429529364 235.27161577901676992 -4881.9422943818753993 -1781.6219735881825272 2.2569459715573196143e-07 -191.34201924587407007 -3.2495802285513612837e-11 3.1556703377046821825e-12
20 -15771.699940676100596 9211414837.2499599457 0.10000000000000200395 9.7308488944116929104e-09 -2326.9063637639351327 93.64827996893494344 81.705996432429529364 235.27161577901676992 -5116.8545293686474906 -1863.8645615732541501 -3.4990359674613739812e-07 -189.47350116604064851 2.9224462753131049496e-11 -1.3680268231729263336e-11
21 -15745.075449967700479 9667655728.5895805359 0.10500000000000199452 9.9920304687682814386e-09 -2429.9252476127221598 94.073953968793745162 81.705996432429529364 235.27161577901676992 -5345.9921003974450286 -1943.7836419024422412 -5.3828037178001161983e-07 -185.57200378173632771 -4.9037745991671748948e-11 -1.2684493794565072367e-11
22 -15717.757117754199498 10092267357.881299973 0.11000000000000199896 8.9085450232769346822e-09 -2525.6350990789860589 94.499627968652546883 81.705996432429529364 235.27161577901676992 -5555.6538967438418695 -2021.2514003643700562 -1.2874638183174504737e-07 -189.90597038453788059 -2.3541809337736901472e-11 1.0121091555793054133e-11
23 -15688.916932521100534 10538305137.779499054 0.1150000000000020034 9.8001666422605634372e-09 -2623.5487100230920987 94.925301968511348605 81.705996432429529364 235.27161577901676992 -5775.1772269600905929 -2095.4689028702068754 -2.3897874186985601067e-07 -185.09055141436246572 1.4384924716884734536e-11 1.3177069105964028356e-11
24 -15658.851434056799917 10993466892.481199265 0.12000000000000199396 9.9439095254753303395e-09 -2723.1638361882487516 95.350975968370150326 81.705996432429529364 235.27161577901676992 -5997.7183048101051099 -2171.7732046823830387 9.2774268795948702735e-07 -183.43882056478298637 -2.0323130524783324683e-11 -2.6720684143241428686e-11
25 -15627.659840354699554 11444588801.52809906 0.1250000000000019984 9.8781992680512438756e-09 -2820.603632847879453 95.776649968228952048 81.705996432429529364 235.27161577901676992 -6216.0870121907310022 -2245.723885658825111 -6.9408254240831682641e-07 -181.80417854642922748 -5.667929169149882562e-11 2.7792908895846962762e-11
26 -15595.363978627199685 11891318696.079299927 0.13000000000000200284 9.3085882569071230019e-09 -2916.1662441215703439 96.202323968087753769 81.705996432429529364 235.27161577901676992 -6430.1483016868160121 -2318.3504303125100705 -3.6538297817755738549e-07 -180.30219733272255667 -2.5374491683869862366e-13 7.5321195138766035683e-12
27 -15561.986571760400693 12332844962.964399338 0.13500000000000200728 9.7095308721068509608e-09 -3009.5700957851586281 96.627997967946555491 81.705996432429529364 235.27161577901676992 -6639.5221586865945937 -2389.1881293003589235 6.3147787590910088279e-07 -178.94390748551802517 1.9138168728064167692e-11 -2.0898374532348576966e-11
28 -15814.342341564899471 5665483118.9187297821 0.14000000000000301092 9.9458686673594494132e-09 -1360.9802128180781438 97.053671967805357212 81.705996432429529364 235.27161577901676992 -3036.6973656403474706 -1046.2432728230594421 9.1727155533606726697e-09 279.87912248843815632 -9.9355796539609391752e-12 2.7414349602057749886e-11
